Modelo;Pooling;AGG;LAYER;out_vec_size;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;Nhid;Epochs;qtd_layers;paper_name;paper_link;year
allmpnet;CLS+MAX+AVG-NS_AVGL4L;CLS+MAX+AVG-NS;AVGL4L;torch.Size([2304]);85,31;86,97;93,91;89,74;90,39;95,60;75,83;88,25;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_AVGL4L;CLS+MAX+SUM-NS;AVGL4L;torch.Size([2304]);85,53;90,15;95,17;90,08;91,49;95,00;72,99;88,63;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_AVGL4L;CLS+MAX+MAX-NS;AVGL4L;torch.Size([2304]);84,43;84,58;93,08;89,00;90,61;90,20;74,55;86,64;nan;nan;nan;nan;nan;nan
allmpnet;CLS_SUMALL;CLS;SUMALL;torch.Size([768]);84,09;87,42;94,68;87,03;90,39;85,60;68,81;85,43;nan;nan;nan;nan;nan;nan
allmpnet;AVG_SUMALL;AVG;SUMALL;torch.Size([768]);85,85;90,12;95,35;90,39;91,21;95,20;75,25;89,05;nan;nan;nan;nan;nan;nan
allmpnet;SUM_SUMALL;SUM;SUMALL;torch.Size([768]);82,22;88,11;94,11;89,53;90,28;94,60;69,80;86,95;nan;nan;nan;nan;nan;nan
allmpnet;MAX_SUMALL;MAX;SUMALL;torch.Size([768]);82,01;73,46;92,48;89,83;89,24;91,80;65,91;83,53;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_SUMALL;AVG-NS;SUMALL;torch.Size([768]);85,91;90,54;95,25;90,45;91,21;95,40;74,55;89,04;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_SUMALL;SUM-NS;SUMALL;torch.Size([768]);82,05;87,87;94,07;89,45;90,01;93,60;67,59;86,38;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_SUMALL;MAX-NS;SUMALL;torch.Size([768]);82,08;73,09;92,58;89,66;89,29;89,60;65,91;83,17;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_SUMALL;CLS+AVG;SUMALL;torch.Size([1536]);86,64;90,31;95,68;90,86;91,43;96,00;66,49;88,20;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_SUMALL;CLS+SUM;SUMALL;torch.Size([1536]);82,60;88,69;94,50;89,71;90,23;92,60;70,84;87,02;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_SUMALL;CLS+MAX;SUMALL;torch.Size([1536]);84,07;87,34;94,98;89,93;91,32;93,60;57,10;85,48;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_SUMALL;CLS+AVG-NS;SUMALL;torch.Size([1536]);86,53;90,36;95,60;91,04;91,49;96,00;66,49;88,22;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_SUMALL;CLS+SUM-NS;SUMALL;torch.Size([1536]);83,24;88,50;94,57;90,24;90,55;92,80;67,94;86,83;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_SUMALL;CLS+MAX-NS;SUMALL;torch.Size([1536]);84,09;87,39;94,99;90,03;91,32;93,80;57,22;85,55;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_SUMALL;CLS+AVG+AVG-NS;SUMALL;torch.Size([2304]);86,65;90,68;95,92;90,98;91,98;95,80;73,10;89,30;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_SUMALL;CLS+AVG+SUM-NS;SUMALL;torch.Size([2304]);84,11;89,38;95,00;90,73;90,44;93,00;67,19;87,12;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_SUMALL;CLS+AVG+MAX-NS;SUMALL;torch.Size([2304]);85,56;89,99;95,56;90,53;91,76;95,40;72,41;88,74;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_SUMALL;CLS+SUM+AVG-NS;SUMALL;torch.Size([2304]);82,99;89,11;94,78;89,85;90,23;93,60;67,77;86,90;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_SUMALL;CLS+SUM+SUM-NS;SUMALL;torch.Size([2304]);83,41;90,07;94,78;89,57;89,24;92,20;67,30;86,65;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_SUMALL;CLS+SUM+MAX-NS;SUMALL;torch.Size([2304]);82,92;89,24;94,68;89,57;90,77;94,00;66,90;86,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_SUMALL;CLS+MAX+AVG-NS;SUMALL;torch.Size([2304]);85,45;89,25;95,36;90,85;91,93;95,20;68,93;88,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_SUMALL;CLS+MAX+SUM-NS;SUMALL;torch.Size([2304]);83,59;89,19;94,72;90,42;90,17;93,20;67,48;86,97;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_SUMALL;CLS+MAX+MAX-NS;SUMALL;torch.Size([2304]);83,54;87,68;94,81;89,99;91,16;93,40;64,35;86,42;nan;nan;nan;nan;nan;nan
allmpnet;CLS_AVGALL;CLS;AVGALL;torch.Size([768]);80,92;63,66;91,42;68,77;89,40;54,40;66,49;73,58;nan;nan;nan;nan;nan;nan
allmpnet;AVG_AVGALL;AVG;AVGALL;torch.Size([768]);83,94;86,97;93,96;90,19;91,32;89,80;66,49;86,10;nan;nan;nan;nan;nan;nan
allmpnet;SUM_AVGALL;SUM;AVGALL;torch.Size([768]);85,61;90,20;95,31;90,79;90,88;95,60;68,99;88,20;nan;nan;nan;nan;nan;nan
allmpnet;MAX_AVGALL;MAX;AVGALL;torch.Size([768]);82,29;78,57;92,56;89,37;89,35;81,00;70,38;83,36;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_AVGALL;AVG-NS;AVGALL;torch.Size([768]);83,73;86,30;93,46;90,06;90,50;91,80;66,49;86,05;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_AVGALL;SUM-NS;AVGALL;torch.Size([768]);85,59;90,15;95,42;90,61;90,72;95,80;70,49;88,40;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_AVGALL;MAX-NS;AVGALL;torch.Size([768]);82,52;79,18;92,61;89,34;89,40;81,00;70,32;83,48;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_AVGALL;CLS+AVG;AVGALL;torch.Size([1536]);85,07;87,74;94,94;90,14;91,43;89,00;66,49;86,40;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_AVGALL;CLS+SUM;AVGALL;torch.Size([1536]);86,35;90,86;95,73;90,28;91,05;95,60;71,65;88,79;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_AVGALL;CLS+MAX;AVGALL;torch.Size([1536]);83,49;84,53;94,38;89,42;90,66;87,80;72,12;86,06;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_AVGALL;CLS+AVG-NS;AVGALL;torch.Size([1536]);85,35;88,34;94,94;90,24;91,76;92,60;66,49;87,10;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_AVGALL;CLS+SUM-NS;AVGALL;torch.Size([1536]);86,33;90,38;95,75;90,42;90,88;95,40;71,88;88,72;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_AVGALL;CLS+MAX-NS;AVGALL;torch.Size([1536]);83,57;85,03;94,30;89,52;91,10;87,60;71,07;86,03;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_AVGALL;CLS+AVG+AVG-NS;AVGALL;torch.Size([2304]);85,53;89,03;95,25;90,37;91,76;93,20;74,90;88,58;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_AVGALL;CLS+AVG+SUM-NS;AVGALL;torch.Size([2304]);86,54;90,17;95,80;90,93;91,05;95,20;71,88;88,80;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_AVGALL;CLS+AVG+MAX-NS;AVGALL;torch.Size([2304]);85,57;89,67;94,87;89,94;91,54;92,40;75,30;88,47;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_AVGALL;CLS+SUM+AVG-NS;AVGALL;torch.Size([2304]);86,51;90,49;95,96;90,68;91,05;95,80;72,23;88,96;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_AVGALL;CLS+SUM+SUM-NS;AVGALL;torch.Size([2304]);86,23;90,04;95,87;90,70;90,77;96,00;69,80;88,49;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_AVGALL;CLS+SUM+MAX-NS;AVGALL;torch.Size([2304]);86,51;90,76;95,58;90,66;91,54;95,60;72,00;88,95;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_AVGALL;CLS+MAX+AVG-NS;AVGALL;torch.Size([2304]);85,17;89,88;94,94;90,52;91,49;87,80;72,00;87,40;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_AVGALL;CLS+MAX+SUM-NS;AVGALL;torch.Size([2304]);86,31;89,59;95,71;90,21;91,27;96,00;70,38;88,50;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_AVGALL;CLS+MAX+MAX-NS;AVGALL;torch.Size([2304]);84,02;86,73;94,13;89,99;90,77;88,40;72,29;86,62;nan;nan;nan;nan;nan;nan
allmpnet;CLS_SUML6L;CLS;SUML6L;torch.Size([768]);84,42;88,66;94,58;87,69;89,68;85,60;70,55;85,88;nan;nan;nan;nan;nan;nan
allmpnet;AVG_SUML6L;AVG;SUML6L;torch.Size([768]);86,35;90,52;94,98;90,49;91,32;96,40;76,29;89,48;nan;nan;nan;nan;nan;nan
allmpnet;SUM_SUML6L;SUM;SUML6L;torch.Size([768]);82,59;88,74;94,14;89,30;89,29;94,00;69,45;86,79;nan;nan;nan;nan;nan;nan
allmpnet;MAX_SUML6L;MAX;SUML6L;torch.Size([768]);84,23;84,56;92,83;88,82;90,50;93,00;65,97;85,70;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_SUML6L;AVG-NS;SUML6L;torch.Size([768]);86,40;90,46;94,92;89,68;91,32;96,20;76,87;89,41;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_SUML6L;SUM-NS;SUML6L;torch.Size([768]);82,53;88,77;94,01;89,31;89,40;93,80;69,57;86,77;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_SUML6L;MAX-NS;SUML6L;torch.Size([768]);84,32;84,24;92,86;89,13;90,50;92,00;66,03;85,58;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_SUML6L;CLS+AVG;SUML6L;torch.Size([1536]);86,86;90,99;95,59;90,48;91,93;96,40;75,54;89,68;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_SUML6L;CLS+SUM;SUML6L;torch.Size([1536]);84,24;89,59;94,48;90,17;90,88;95,20;71,77;88,05;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_SUML6L;CLS+MAX;SUML6L;torch.Size([1536]);85,53;89,54;95,19;89,95;91,82;94,80;71,48;88,33;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_SUML6L;CLS+AVG-NS;SUML6L;torch.Size([1536]);86,81;91,42;95,61;90,61;91,82;96,40;75,54;89,74;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_SUML6L;CLS+SUM-NS;SUML6L;torch.Size([1536]);84,48;89,53;94,59;90,13;91,05;95,00;69,04;87,69;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_SUML6L;CLS+MAX-NS;SUML6L;torch.Size([1536]);85,39;89,38;95,07;90,10;91,87;94,80;71,59;88,31;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_SUML6L;CLS+AVG+AVG-NS;SUML6L;torch.Size([2304]);86,84;91,95;95,74;90,74;91,71;96,20;75,88;89,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_SUML6L;CLS+AVG+SUM-NS;SUML6L;torch.Size([2304]);84,78;90,33;94,82;90,09;91,27;94,20;69,80;87,90;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_SUML6L;CLS+AVG+MAX-NS;SUML6L;torch.Size([2304]);86,34;91,52;95,39;90,31;91,87;96,00;72,58;89,14;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_SUML6L;CLS+SUM+AVG-NS;SUML6L;torch.Size([2304]);84,56;89,24;94,77;90,31;91,10;96,60;68,35;87,85;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_SUML6L;CLS+SUM+SUM-NS;SUML6L;torch.Size([2304]);84,04;90,09;94,62;89,90;90,66;93,00;70,09;87,49;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_SUML6L;CLS+SUM+MAX-NS;SUML6L;torch.Size([2304]);83,98;89,62;94,70;89,96;90,88;95,00;72,52;88,09;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_SUML6L;CLS+MAX+AVG-NS;SUML6L;torch.Size([2304]);85,89;91,26;95,50;90,38;92,15;95,60;75,19;89,42;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_SUML6L;CLS+MAX+SUM-NS;SUML6L;torch.Size([2304]);84,70;90,49;94,57;90,18;90,66;94,20;69,57;87,77;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_SUML6L;CLS+MAX+MAX-NS;SUML6L;torch.Size([2304]);85,18;89,61;94,39;90,07;92,15;95,60;67,77;87,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS_AVGL6L;CLS;AVGL6L;torch.Size([768]);82,20;85,03;92,57;68,77;89,24;79,80;66,49;80,59;nan;nan;nan;nan;nan;nan
allmpnet;AVG_AVGL6L;AVG;AVGL6L;torch.Size([768]);85,48;87,58;93,89;88,84;91,32;92,00;71,42;87,22;nan;nan;nan;nan;nan;nan
allmpnet;SUM_AVGL6L;SUM;AVGL6L;torch.Size([768]);85,80;90,91;95,10;89,91;90,66;96,60;71,01;88,57;nan;nan;nan;nan;nan;nan
allmpnet;MAX_AVGL6L;MAX;AVGL6L;torch.Size([768]);84,20;85,22;92,84;88,71;90,39;88,00;72,81;86,02;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_AVGL6L;AVG-NS;AVGL6L;torch.Size([768]);85,48;87,42;93,66;89,51;91,43;94,00;71,83;87,62;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_AVGL6L;SUM-NS;AVGL6L;torch.Size([768]);85,82;90,73;95,09;89,57;90,61;96,60;71,13;88,51;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_AVGL6L;MAX-NS;AVGL6L;torch.Size([768]);84,23;85,27;92,82;88,74;89,62;86,60;72,87;85,74;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_AVGL6L;CLS+AVG;AVGL6L;torch.Size([1536]);85,91;89,30;95,03;89,12;91,76;94,00;73,33;88,35;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_AVGL6L;CLS+SUM;AVGL6L;torch.Size([1536]);86,46;90,73;95,20;89,84;91,71;96,40;72,35;88,96;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_AVGL6L;CLS+MAX;AVGL6L;torch.Size([1536]);84,95;88,61;94,31;89,07;91,76;88,40;71,36;86,92;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_AVGL6L;CLS+AVG-NS;AVGL6L;torch.Size([1536]);85,86;89,46;95,02;89,43;91,98;92,40;73,22;88,20;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_AVGL6L;CLS+SUM-NS;AVGL6L;torch.Size([1536]);86,48;90,60;95,16;89,82;90,83;96,40;72,41;88,81;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_AVGL6L;CLS+MAX-NS;AVGL6L;torch.Size([1536]);84,88;88,48;94,30;89,26;91,71;86,20;71,48;86,62;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_AVGL6L;CLS+AVG+AVG-NS;AVGL6L;torch.Size([2304]);86,25;89,62;94,84;90,02;92,15;95,20;75,83;89,13;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_AVGL6L;CLS+AVG+SUM-NS;AVGL6L;torch.Size([2304]);86,31;90,15;95,55;90,37;91,32;96,00;71,19;88,70;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_AVGL6L;CLS+AVG+MAX-NS;AVGL6L;torch.Size([2304]);85,62;89,03;94,84;89,88;91,71;94,60;70,49;88,02;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_AVGL6L;CLS+SUM+AVG-NS;AVGL6L;torch.Size([2304]);86,47;89,96;95,18;90,22;91,54;96,60;71,88;88,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_AVGL6L;CLS+SUM+SUM-NS;AVGL6L;torch.Size([2304]);86,29;90,94;95,77;89,76;91,65;96,20;65,97;88,08;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_AVGL6L;CLS+SUM+MAX-NS;AVGL6L;torch.Size([2304]);86,34;91,20;95,40;90,31;91,76;96,80;72,46;89,18;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_AVGL6L;CLS+MAX+AVG-NS;AVGL6L;torch.Size([2304]);85,92;89,83;94,56;90,04;91,87;95,00;71,25;88,35;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_AVGL6L;CLS+MAX+SUM-NS;AVGL6L;torch.Size([2304]);86,63;90,89;95,64;89,85;91,60;96,40;71,48;88,93;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_AVGL6L;CLS+MAX+MAX-NS;AVGL6L;torch.Size([2304]);84,95;87,79;94,28;89,33;91,27;90,80;74,03;87,49;nan;nan;nan;nan;nan;nan
allmpnet;CLS_SUML4BL;CLS;SUML4BL;torch.Size([768]);81,31;84,79;91,09;68,77;88,30;64,40;66,61;77,90;nan;nan;nan;nan;nan;nan
allmpnet;AVG_SUML4BL;AVG;SUML4BL;torch.Size([768]);86,41;90,33;94,88;90,03;91,27;96,20;75,88;89,29;nan;nan;nan;nan;nan;nan
allmpnet;SUM_SUML4BL;SUM;SUML4BL;torch.Size([768]);82,66;89,03;94,00;89,04;89,68;94,80;69,04;86,89;nan;nan;nan;nan;nan;nan
allmpnet;MAX_SUML4BL;MAX;SUML4BL;torch.Size([768]);84,10;85,80;92,45;88,74;90,77;93,20;65,91;85,85;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_SUML4BL;AVG-NS;SUML4BL;torch.Size([768]);86,39;90,39;94,89;90,27;91,27;96,00;76,06;89,32;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_SUML4BL;SUM-NS;SUML4BL;torch.Size([768]);82,46;88,90;94,13;89,21;89,68;94,60;69,57;86,94;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_SUML4BL;MAX-NS;SUML4BL;torch.Size([768]);83,57;85,69;92,56;89,19;90,39;92,80;65,91;85,73;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_SUML4BL;CLS+AVG;SUML4BL;torch.Size([1536]);86,73;90,83;95,30;90,17;92,09;96,20;75,19;89,50;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_SUML4BL;CLS+SUM;SUML4BL;torch.Size([1536]);84,21;89,24;94,40;90,02;91,05;94,60;69,39;87,56;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_SUML4BL;CLS+MAX;SUML4BL;torch.Size([1536]);85,29;88,27;94,21;88,77;91,65;94,20;72,00;87,77;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_SUML4BL;CLS+AVG-NS;SUML4BL;torch.Size([1536]);86,58;90,81;95,30;90,46;91,60;96,40;75,71;89,55;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_SUML4BL;CLS+SUM-NS;SUML4BL;torch.Size([1536]);84,38;89,22;94,39;90,11;91,05;95,40;67,71;87,47;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_SUML4BL;CLS+MAX-NS;SUML4BL;torch.Size([1536]);85,26;88,21;94,20;89,05;91,65;94,00;72,75;87,87;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_SUML4BL;CLS+AVG+AVG-NS;SUML4BL;torch.Size([2304]);87,15;91,18;95,56;90,48;91,60;96,40;74,78;89,59;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_SUML4BL;CLS+AVG+SUM-NS;SUML4BL;torch.Size([2304]);84,88;89,62;95,01;90,20;90,66;95,40;69,10;87,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_SUML4BL;CLS+AVG+MAX-NS;SUML4BL;torch.Size([2304]);86,06;90,38;95,07;90,18;91,54;95,60;73,80;88,95;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_SUML4BL;CLS+SUM+AVG-NS;SUML4BL;torch.Size([2304]);84,77;90,15;94,96;90,30;90,66;95,80;68,35;87,86;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_SUML4BL;CLS+SUM+SUM-NS;SUML4BL;torch.Size([2304]);84,23;89,56;94,81;89,91;90,39;94,40;70,49;87,68;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_SUML4BL;CLS+SUM+MAX-NS;SUML4BL;torch.Size([2304]);84,54;89,91;94,71;89,93;90,77;95,40;68,99;87,75;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_SUML4BL;CLS+MAX+AVG-NS;SUML4BL;torch.Size([2304]);86,07;90,20;94,60;90,33;91,76;95,40;74,20;88,94;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_SUML4BL;CLS+MAX+SUM-NS;SUML4BL;torch.Size([2304]);84,66;89,51;94,83;90,15;90,77;95,20;69,80;87,85;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_SUML4BL;CLS+MAX+MAX-NS;SUML4BL;torch.Size([2304]);83,94;87,68;93,69;89,31;91,16;95,00;71,36;87,45;nan;nan;nan;nan;nan;nan
allmpnet;CLS_AVGL4BL;CLS;AVGL4BL;torch.Size([768]);78,14;63,76;88,21;68,77;86,88;42,00;66,49;70,61;nan;nan;nan;nan;nan;nan
allmpnet;AVG_AVGL4BL;AVG;AVGL4BL;torch.Size([768]);84,83;87,44;93,58;89,17;90,94;94,40;72,81;87,60;nan;nan;nan;nan;nan;nan
allmpnet;SUM_AVGL4BL;SUM;AVGL4BL;torch.Size([768]);85,62;90,28;95,03;89,73;90,83;96,40;71,36;88,46;nan;nan;nan;nan;nan;nan
allmpnet;MAX_AVGL4BL;MAX;AVGL4BL;torch.Size([768]);84,03;84,45;92,67;88,50;90,17;84,40;71,71;85,13;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_AVGL4BL;AVG-NS;AVGL4BL;torch.Size([768]);84,80;87,34;93,57;89,46;91,05;94,40;73,45;87,72;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_AVGL4BL;SUM-NS;AVGL4BL;torch.Size([768]);85,49;90,33;94,93;89,72;90,94;95,80;71,36;88,37;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_AVGL4BL;MAX-NS;AVGL4BL;torch.Size([768]);84,03;84,87;92,43;88,62;90,44;84,40;71,65;85,21;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_AVGL4BL;CLS+AVG;AVGL4BL;torch.Size([1536]);85,36;88,87;94,64;89,22;91,05;92,60;72,93;87,81;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_AVGL4BL;CLS+SUM;AVGL4BL;torch.Size([1536]);86,01;90,23;95,10;90,03;90,88;96,80;71,65;88,67;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_AVGL4BL;CLS+MAX;AVGL4BL;torch.Size([1536]);84,67;86,97;93,90;88,58;90,50;85,00;72,29;85,99;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_AVGL4BL;CLS+AVG-NS;AVGL4BL;torch.Size([1536]);85,72;88,82;94,55;89,82;91,16;94,20;72,87;88,16;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_AVGL4BL;CLS+SUM-NS;AVGL4BL;torch.Size([1536]);85,98;90,36;95,07;90,01;90,77;96,60;71,88;88,67;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_AVGL4BL;CLS+MAX-NS;AVGL4BL;torch.Size([1536]);84,72;86,89;93,88;89,00;90,99;85,00;72,99;86,21;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_AVGL4BL;CLS+AVG+AVG-NS;AVGL4BL;torch.Size([2304]);86,04;89,43;94,84;89,93;91,27;95,20;74,67;88,77;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_AVGL4BL;CLS+AVG+SUM-NS;AVGL4BL;torch.Size([2304]);86,17;90,84;95,74;90,04;91,27;96,60;71,25;88,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_AVGL4BL;CLS+AVG+MAX-NS;AVGL4BL;torch.Size([2304]);85,45;88,84;94,33;89,75;91,60;95,20;75,01;88,60;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_AVGL4BL;CLS+SUM+AVG-NS;AVGL4BL;torch.Size([2304]);86,31;90,54;95,32;90,00;91,16;96,40;70,67;88,63;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_AVGL4BL;CLS+SUM+SUM-NS;AVGL4BL;torch.Size([2304]);85,91;90,75;95,32;90,03;91,38;95,40;71,83;88,66;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_AVGL4BL;CLS+SUM+MAX-NS;AVGL4BL;torch.Size([2304]);86,15;91,05;95,38;90,12;91,32;96,60;70,90;88,79;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_AVGL4BL;CLS+MAX+AVG-NS;AVGL4BL;torch.Size([2304]);85,58;87,79;94,24;89,74;91,21;95,00;74,72;88,33;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_AVGL4BL;CLS+MAX+SUM-NS;AVGL4BL;torch.Size([2304]);86,16;90,09;95,65;90,27;91,21;96,20;72,35;88,85;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_AVGL4BL;CLS+MAX+MAX-NS;AVGL4BL;torch.Size([2304]);84,40;86,28;93,78;88,74;90,94;93,20;72,87;87,17;nan;nan;nan;nan;nan;nan
deberta-base;CLS_SUML6L;CLS;SUML6L;torch.Size([768]);75,98;63,66;81,03;73,72;86,93;38,60;66,49;69,49;nan;nan;nan;nan;nan;nan
deberta-base;AVG_SUML6L;AVG;SUML6L;torch.Size([768]);86,96;89,43;95,10;90,22;91,71;95,00;72,52;88,71;nan;nan;nan;nan;nan;nan
deberta-base;SUM_SUML6L;SUM;SUML6L;torch.Size([768]);82,96;87,55;93,87;88,47;91,65;94,60;66,49;86,51;nan;nan;nan;nan;nan;nan
deberta-base;MAX_SUML6L;MAX;SUML6L;torch.Size([768]);81,71;69,03;92,53;89,06;89,95;91,20;64,99;82,64;nan;nan;nan;nan;nan;nan
